-65 0.000164428 -220
|Index|TCPP|TCVP|
|823|0.0546547|1.32363|
|824|0.0549199|1.32839|
|825|0.0551861|1.33316|
|826|0.0554532|1.33794|
|827|0.0557213|1.34274|
|828|0.0559903|1.34754|
|829|0.0562603|1.35236|
|830|0.0565312|1.35719|
|831|0.0568031|1.36203|
|832|0.057076|1.36688|
|833|0.0573499|1.37174|
|834|0.0576247|1.37661|
|835|0.0579005|1.3815|
|836|0.0581773|1.38639|
|837|0.0584551|1.3913|
|838|0.0587339|1.39621|
|839|0.0590136|1.40114|
|840|0.0592943|1.40608|
|841|0.059576|1.41103|
|842|0.0598587|1.41599|
|843|0.0601424|1.42096|
|844|0.0604271|1.42595|
|845|0.0607128|1.43094|
|846|0.0609995|1.43595|
|847|0.0612872|1.44097|
|848|0.0615759|1.446|
|849|0.0618656|1.45104|
|850|0.0621563|1.45609|
|851|0.062448|1.46115|
|852|0.0627408|1.46622|
|853|0.0630345|1.47131|
|854|0.0633293|1.47641|
|855|0.0636251|1.48151|
|856|0.0639219|1.48663|
|857|0.0642197|1.49176|
|858|0.0645186|1.49691|
|859|0.0648185|1.50206|
|860|0.0651194|1.50723|
|861|0.0654214|1.5124|
|862|0.0657244|1.51759|
|863|0.0660284|1.52279|
|864|0.0663335|1.528|
|865|0.0666396|1.53322|
|866|0.0669468|1.53845|
|867|0.067255|1.5437|
|868|0.0675643|1.54896|
|869|0.0678746|1.55422|
|870|0.068186|1.5595|
|871|0.0684984|1.56479|
|872|0.0688119|1.5701|
|873|0.0691264|1.57541|
|874|0.069442|1.58073|
|875|0.0697587|1.58607|
|876|0.0700765|1.59142|
|877|0.0703953|1.59678|
