-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|361|205442|110840|284456|-115475|-88658.4|-134689|
|362|204273|109942|283093|-118316|-90817.1|-137967|
|363|203076|109024|281697|-121108|-92889.4|-141222|
|364|201851|108085|280269|-123794|-94817.5|-144396|
|365|200600|107128|278809|-126375|-96601.7|-147492|
|366|199324|106153|277319|-128852|-98242.2|-150512|
|367|198023|105163|275799|-131227|-99739.5|-153461|
|368|196700|104159|274250|-133501|-101094|-156339|
|369|195354|103142|272673|-135675|-102307|-159149|
|370|193986|102113|271067|-137751|-103378|-161895|
|371|192599|101075|269435|-139729|-104308|-164577|
|372|191192|100028|267776|-141612|-105098|-167199|
|373|189767|98973.3|266091|-143400|-105749|-169762|
|374|188325|97913.1|264381|-145095|-106263|-172269|
|375|186865|96848.5|262646|-146698|-106639|-174722|
|376|185391|95780.8|260887|-148210|-106880|-177123|
|377|183902|94711.4|259104|-149633|-106986|-179474|
|378|182399|93641.5|257297|-150968|-106958|-181776|
|379|180883|92572.6|255468|-152216|-106799|-184032|
|380|179354|91506|253617|-153378|-106509|-186243|
|381|177815|90442.9|251744|-154456|-106089|-188410|
|382|176266|89384.6|249849|-155450|-105542|-190536|
|383|174707|88332.5|247933|-156363|-104869|-192622|
|384|173139|87287.7|245996|-157195|-104070|-194669|
|385|171563|86251.5|244040|-157947|-103149|-196680|
|386|169980|85225.1|242063|-158621|-102107|-198654|
|387|168391|84209.7|240067|-159217|-100945|-200594|
|388|166796|83206.6|238051|-159737|-99664.7|-202500|
|389|165196|82216.8|236017|-160182|-98268.7|-204375|
|390|163593|81241.6|233964|-160554|-96758.7|-206219|
|391|161985|80282|231893|-160853|-95136.4|-208033|
|392|160376|79339.2|229803|-161080|-93403.9|-209818|
|393|158764|78414.3|227696|-161237|-91563.1|-211576|
|394|157151|77508.4|225572|-161317|-89583.1|-213320|
|395|155538|76623.2|223430|-161312|-87430.4|-215058|
|396|153925|75760.4|221271|-161218|-85104.2|-216787|
|397|152314|74921.7|219094|-161032|-82603.5|-218505|
|398|150705|74108.9|216901|-160752|-79927.7|-220206|
|399|149099|73323.7|214690|-160374|-77076.4|-221887|
|400|147498|72568|212463|-159895|-74049.6|-223545|
|401|145902|71843.3|210219|-159311|-70847.4|-225173|
|402|144312|71151.6|207960|-158621|-67470.4|-226769|
|403|142730|70494.5|205684|-157821|-63919.5|-228327|
|404|141156|69873.8|203393|-156907|-60196|-229842|
|405|139592|69291.2|201087|-155878|-56301.6|-231309|
|406|138039|68748.3|198767|-154730|-52238.6|-232723|
|407|136498|68246.9|196433|-153462|-48009.5|-234079|
|408|134970|67788.7|194086|-152069|-43617.4|-235371|
|409|133457|67375.1|191726|-150551|-39066.1|-236593|
|410|131959|67007.9|189354|-148905|-34359.8|-237740|
|411|130479|66688.4|186971|-147129|-29503|-238805|
|412|129017|66418.3|184578|-145221|-24501.3|-239782|
|413|127575|66198.9|182176|-143180|-19360.6|-240665|
|414|126154|66031.5|179765|-141004|-14087.2|-241447|
|415|124755|65917.5|177348|-138693|-8688.47|-242123|
|416|123381|65858.1|174923|-136247|-3172.04|-242686|
|417|122031|65854.5|172494|-133664|2453.72|-243129|
|418|120708|65907.6|170061|-130945|8179.85|-243445|
|419|119413|66018.4|167626|-128090|13996.8|-243628|
